spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_29,spot_30
0,10297,8915.2,9548,3992.1,8612.2,7807.7,7828.5,0,0,10574,8010.2,0,9275.6,11299,0,7532.3,8315.6,5678.3,0,12641,0,10503,12434,8864.6,9244.3,8208.7,0,4731.7,7105.2,11421
0,9083.7,8992.5,10031,3051.4,7663.4,8230.2,7674.1,0,0,7803.2,10283,0,6083.9,13543,0,5274,7303.2,5112,0,12313,0,9161.7,12333,10354,11301,8170.9,5522.8,10734,8766.1,0
0,5947.2,11257,6973.2,2971.8,5279.6,10304,5167.2,0,0,6694.4,10084,0,4645.8,14533,0,6046.7,7060.9,5621.2,1510.6,12305,0,9951.8,9439.5,10015,0,7337.9,6875.5,12028,9326.8,0
0,3183,8750.1,7191.2,2890.8,2153.4,11467,5954.2,0,0,7440.5,9155.5,0,0,12273,0,5282.3,5742.5,5061.4,0,9870.5,0,12157,10742,8260.9,0,5242.7,9450.1,12037,10104,0
0,4318,9964.2,4982.7,5609.9,0,11727,6985.5,0,0,9409.1,10672,0,0,10886,0,0,5430.1,7213,0,11450,0,11481,10216,9327.1,0,5847.2,10576,12299,10729,0
0,4767.4,7424.7,5426.6,6771.1,0,11097,6362.8,0,4289.8,11398,8957.8,0,0,9868,0,0,5241.8,6648.8,0,9216,0,11072,8757.7,8502.1,0,6386.5,11872,5097.9,9698.5,12685
0,5460.7,5096,3320.1,8811.7,0,9617.3,6609.1,0,5586.2,0,9999.6,0,0,10367,0,0,7814.7,3285.5,9802.3,8713.3,0,9831,9543.4,8071,0,6890.8,11944,13671,10630,0
0,8124.7,3465.7,2690.7,11793,0,9845,7125.3,0,5412.6,13172,9006.3,0,4431.3,9784.5,0,0,7480.3,3465.1,0,7598.9,0,12298,11231,5651.1,0,9774.2,9474.2,13267,9081.3,0
0,7332.5,4700.7,0,11357,0,12052,5892.3,0,5363.4,9258.6,5716.2,0,5959.7,9361.2,0,7346.2,7984.3,2569.6,0,6244.3,0,10782,10279,6165.3,0,10655,11056,12408,8871.6,0
0,8788.5,6325.4,0,9516.5,2371.2,8209.2,4116.4,0,7954.7,10486,6945.2,0,8235.1,6224.2,0,9106.5,5667.3,4216,0,6678.9,0,11503,8526.8,5921.3,7631.5,11433,8132.2,13376,8825,0
0,10212,9538.3,0,11707,2953,7700.6,0,0,5764.8,11881,4257.1,0,7377.4,5054,0,10700,3622.3,0,0,8216.7,0,8886.4,10800,6769.2,6236.4,10173,9821.4,11153,8008,0
0,7958.5,9614.5,0,9425.4,2700.1,3536.3,0,0,2708.3,9909.8,3236.4,0,5815.9,5829,0,10166,3210.7,4310,0,6392.5,0,9694.6,11079,8218.7,7175.8,12788,8400.9,11790,8474.2,0
0,6489.2,10790,0,7370,0,0,0,0,4600.6,9315.6,4027.9,0,6130.4,5968.5,0,10374,3173,4504.1,0,7410.9,3312.9,10052,12378,8764.2,5185.7,12401,7965.3,7448.6,9821.4,6286
0,5548.5,10428,0,9769.4,0,0,0,0,5625,8606.6,6969.5,0,4740.4,4795.7,0,8853.2,0,0,0,4058.4,0,8554,12818,9319,4926.1,10937,4226.4,5110.3,7137.1,6103.7
0,4385.4,8252.1,0,8621.9,0,0,0,0,8886,8142,1929.1,0,3014.6,5367.8,0,7964.9,0,3673.2,0,3056.3,7022.3,7065.2,10515,10932,3468.2,11641,0,7010.4,6640.8,4400.7
0,5404.7,8869.7,0,10697,0,0,0,0,9616.1,9519.8,1865.2,0,0,5453,0,9331.9,0,3808.7,0,3965.7,9602.5,8488,10012,8099.1,0,12727,4144.6,8128.1,5928.9,0
0,6293.1,7727.9,0,9538.8,0,0,0,0,10401,7405,3241.5,0,0,5756.5,0,10775,0,5324.9,0,2647.2,10119,8416.9,10069,11105,3266.6,10322,0,7748.4,3613,4926.6
0,7267.6,6607.5,0,10673,3253.1,0,3291.1,0,9926.9,8755.3,9099,0,0,6772.5,0,10552,0,7206.4,0,5717.1,10634,8508.9,7953.2,9179.5,3514.5,7336.4,0,7253.8,2049.5,0
0,6222.9,0,0,10241,4910.4,0,3897.7,0,8717.3,12516,9353.7,0,0,7562.8,0,10570,0,7527.7,0,6521.9,7829.3,9006.7,7700.6,8130.3,3135.3,3903.5,0,9502.7,4154.8,7641.3
0,6706.3,0,0,7974.3,8103.6,0,4692.2,0,7214.2,9980.9,8359.1,0,0,8893.3,0,9409.2,4339.9,8533.9,0,5359.5,6148.7,9785.1,8441.8,6397.8,4885.5,3528,10270,10413,3998.3,10780
0,6312.2,0,4164.8,6167.8,8918.2,0,6419.1,0,7764.7,9267.7,9665.3,0,0,7720.9,0,6092.9,5563.4,8697.9,0,6618.4,5658.8,9501.7,9983.1,4704,4042,4794.2,0,7339.1,3136.5,10603
0,3603.7,0,6587.3,4422.1,9817.2,0,6506.7,0,6730.6,7265.4,4090.4,0,0,6581.3,0,6082.3,5745.3,4575.9,0,6746.9,6471.8,7244.7,8327.2,3927.4,1863,4786.3,0,4407.3,0,9492.7
0,3534.2,0,9135.5,3180.8,8732.9,3396.1,7299.8,0,6394.9,6117.6,3990.5,0,0,7723.7,0,5725.2,6985.4,4352.1,0,6490,6355,5593.3,11123,5272.2,3344.4,7549.6,9620.7,0,0,11935
0,0,0,9278.7,7923.4,9364.7,3186.6,6313.6,0,6187.3,4383.6,10261,0,0,7665,0,6506.4,5180.4,5423.1,0,7290.4,6362.8,4173.7,9917.3,4970.1,3443.6,4718.8,12073,10390,2895.9,0
0,0,0,7895.9,5092.5,7931,4510.1,6140.5,0,3650.5,0,9264.1,0,0,5740.3,0,6501.9,4900.9,4307.1,0,7465,7274.9,0,9557.2,6448.8,1773.5,3601.6,10384,8076.3,5998.2,0
0,0,0,8911.2,5908.3,7916.7,6026.4,7701.9,0,3003.5,0,3274.3,0,0,7648.9,0,7588.8,5687.9,5261.2,0,8809.2,4939.2,0,8610.6,7999.6,2227.7,3090.7,11276,5653.9,4434.7,0
0,2959.8,6809.3,9844.8,5808.6,4956.7,6658.1,6652,0,4003.8,0,5334.7,0,0,7523.9,0,5742.2,4628.9,5518,0,9470.4,6131.1,0,9822.4,7114,1039.6,2531.6,12553,3056.6,6133.8,0
0,4050.6,4733.4,7936.1,6189.8,9627.5,9154.3,5958.7,0,4914.6,0,8140.8,0,0,9420,0,4797.6,5492.6,5814.6,0,9932.5,6696.4,0,13465,6898.9,681.49,4175.2,10706,2881.2,6518,0
0,0,3753.1,6748.6,4914.6,9441.2,12349,3927.2,0,4551.5,3705.7,7125.2,0,0,8385.6,0,4817.7,8174.2,4087.9,0,10901,5326.1,0,11207,5498.5,0,4812,8172.2,6542.6,6124.4,0
0,7587.6,4819.8,8496.9,6449.1,8436.1,11012,3923.7,0,5592.6,7553.2,2979.2,0,0,6793,0,4295.4,5624.7,4406.6,0,11072,4649.7,0,12438,6035.4,0,7122.1,10383,8748,4467.9,5191.9
0,7436.7,4971.4,11181,8791.7,7232.9,11499,3248.7,0,4916,10535,4911.9,0,0,6455.7,0,6366.9,6709.6,0,1765.3,8120.4,4183.2,5755.9,12348,6348.8,0,7839.9,10087,8190.5,4318.2,3922.5
0,7591.6,6455.4,10688,11374,7098,13180,0,0,5667.7,9520.2,2175.7,0,8049.5,5641.4,0,7095.8,3905.1,4277,0,10278,5050.4,0,11863,7678.5,0,9660.8,7737.5,10920,3508.1,4918
0,11036,7488,9300.8,14019,7191.7,11612,0,0,4765.6,9608.3,0,0,4809,6627,0,4088.3,0,0,0,8777.5,5462.3,5527,12174,7990.3,0,10191,9791.8,10391,3503.1,0
0,11460,6329.2,7517.3,12584,8666.3,0,0,0,5303.2,9233.2,0,0,5598.4,4887.8,0,0,8956.2,0,0,6234.4,4507,2794.2,11859,9861.3,0,9930.5,9202.9,8605.8,2924.2,0
0,10537,7476.7,6674.8,13269,2077.6,0,0,0,3821.3,6155,0,0,6367.4,3113.6,0,0,4299.1,0,0,7715.9,0,0,9668.9,8727,0,9477,10520,6713.4,3711.5,0
0,7768.8,9871.4,6641.8,11523,4915.3,8963.4,0,0,3624.9,6797.8,3358.5,0,4700.3,0,0,0,5899.8,0,0,7297.8,3460.6,2608.8,9470.7,9583.6,4650.5,10979,7991,5742.2,5184.4,0
