spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30
5022.2,5626.8,3408,2091.4,8038.4,6103.6,6650.5,6750.6,461.97,7320.7,6408.8,7101.5,4574.3,6408.8,4092.5,4520.4,3955.6,9135.2,3755.9,4971.5,6769.5,6218,4175.6,6670.9,4188.8,6517.8,0,8652.7,6900.3
6420.9,6149.7,2854.2,1605,8330.5,6087.3,8351,7874.8,917.56,7806.8,5394.3,6945.9,5238.4,6708.4,5013.8,5977,4704.1,7918,3291.3,3568.7,6700.8,7070.7,4158.4,6656.2,4797.7,5274.4,0,7724.7,7706.9
5412.6,5307,3402.5,2312.9,6633.2,6110.9,8108.5,7170.2,1497.3,5948.5,5104.7,7771.6,6789.1,7066.1,6115.4,5873.8,4459.1,8080.9,3960.6,4313.6,7461.8,6562.6,4339.1,7236,4600.6,5632.2,0,9341.3,7584.9
6055.2,4670.8,3240.7,3392.3,7050.5,6606.7,7249.9,7038.2,1848.7,7974.7,3617.6,7110,6321.7,6688.6,5490.7,6180.2,4702.5,7021.2,3999.4,4309.2,5761.4,8615,4315,6135,4872.5,5649.3,0,6878.1,7931.9
5485,3948.7,3630.4,2898.4,7598.6,6172.5,7257.3,7563.6,2196.6,7010.7,3764.5,9170.7,6313.1,7315.9,7085.4,6702.5,5951.4,7317.3,4941.4,5039,6281.4,7704.6,3528.6,6549.4,6530,7100.2,0,7921.8,7284.8
5113,3576.7,3333.8,2177.8,6806.3,6294.7,7857.1,7044.9,1986.9,7055.8,3528.8,8493.4,5711.1,8170.7,5917.1,6627,5329.9,8345.8,6455.5,3924.4,4924.5,8038,4114.2,6508.2,6041.3,6603.2,0,7005.8,8859.2
5518.1,3820.6,4998.7,2971.3,6343.7,4950.7,8487,6485.7,2605.8,8108.8,4140.1,6794.6,5664,8493.2,7789.2,5957.1,5506.4,6399.4,5293.8,4412,4940.6,6504.6,4281.3,6682.1,5745.4,7522.9,0,6304.2,7929.7
5206.9,3747.1,3406,3644.7,6652.3,4507.5,7909.8,5404.3,3470.6,7441.9,3390.7,7703.9,6317,6112.4,6894.1,6590.3,6384.1,7637.3,5103.5,4106.1,6055.4,6753.2,3356.9,5109.8,7157.1,6699.5,0,6803.1,6337.3
4764.7,2083.9,5353.7,4004.7,6655.9,6011,7493.2,6327.9,3584.4,6443.6,3896.9,7926.9,6908.3,6287.4,7048.3,6549.4,5819.3,7478.8,4904.3,4810.8,5095.7,5683.7,4131.2,5796.2,8210.6,6954,0,7737.3,7642.2
5320.7,3540.5,4993.3,4117.1,6314.4,5244,8797.4,6135.7,3317.3,8104.1,2668.4,8669.6,6694.5,6241.5,5929.3,5941,7246,7865,5155.1,4997.7,4587.1,6234.2,3739.3,5065.4,8357.7,6504.4,0,6927,7094.6
4608.7,3999.9,4562,2658.1,6286.3,5130.1,7828.5,5794,2786.9,7088.6,2245.1,7649.2,6995.9,6127.9,7275.9,6002.2,6187.2,7958.1,5799.4,5166.7,5125.5,5445.2,4086.4,6225.5,7233.7,7448.3,0,6479.2,7087.4
