spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30,spot_31,spot_32,spot_33,spot_34,spot_35,spot_36,spot_37
5794.3,0,4578.2,6768.4,10130,5064,6291.3,5369.7,0,4922,5005.8,5209.1,8471.7,8094.4,2721.7,0,8413.1,9093.3,8016.9,7926.6,5926.7,7991.7,6122.5,6966.9,4344.6,0,2594.9,6959,6513.3,5612.6,0,0,10108,5562.7,3613.3,4446.7
8254.1,0,4557,5725.6,11029,4378.8,4941.4,6495.2,0,4998,3030.5,5494.4,9012,7217.5,3050.6,0,8975.3,6945.7,7760,9459.6,5250,7723.2,6513.9,6701.7,4726.3,0,3787.7,7341.7,6572.2,5411,0,0,8585.5,4068.4,2863.7,5820.1
6233.8,0,6818.2,7180.5,10639,6358.6,5388,7212.5,0,5170.7,4278.4,5834,7684,8105.7,3805.5,0,8148.8,5861.5,7885.1,8398.3,4804.7,7696.8,6455.9,7306.9,5433.6,0,3316.3,6174.4,6033.6,5179.2,0,1134.3,7797.9,5897.8,2951,6488.3
5762.6,0,6927.4,7458.3,9604.6,4886.1,6781.1,6634.7,0,5584.1,3911.3,7061.8,8102.4,6924.6,3558.5,0,9672.6,7252.4,8154.3,8151.7,3964.4,8285.3,8285.9,6970.2,3064.8,1000,0,7150.4,5620.3,6841.4,3695,2055.8,8923.7,4615.5,2950.7,4273.2
4201,0,6681.3,5880.2,9488.8,5794.1,7149.6,6860.2,0,5937.2,2925.9,5423.9,8257.7,5802.3,0,0,7856.8,6120.1,8654.4,8004.2,4822.7,8389.6,7875.7,4149.9,5232.7,1744.4,0,7943,4810.2,5319.6,2470.9,3231.4,6965.5,5386.4,3495.5,6846.3
3852.5,0,6905.7,6538.9,10425,6720.9,6527.8,7223.9,0,5710.7,3671.3,7019.1,9579.4,5657,0,0,9235,5995.5,7622,8636,3862.7,7405.7,8851.5,3409.6,5589.8,2813.6,3165.7,6734.2,6448.6,7242.5,2625.6,4452.2,6507.3,3969.9,0,6561.6
4016.5,0,8377,7768.9,7174.8,6066.1,6414.4,6883.1,0,6200.6,3931.7,5535.6,8574.7,6603.2,1586.6,0,9210.8,7646.7,8198.6,7671.3,3815.5,8639.7,7534.6,3847.2,5858,4244,2739.9,9058.5,5175.2,6940.8,0,5870.2,8295.1,4325.7,2016.1,8607.4
3479.6,0,8549.6,5993.6,9696.5,7377.6,5605.2,5343.5,0,5197.8,4513.9,7121.4,7637.9,6014.4,2390.4,0,10138,8575.2,7467.3,7119.8,2995.4,8632.8,7846,4648.4,5906,4005.7,3076.3,7104.9,8024.1,7253.6,1909,7253.5,6837.5,4624.1,3038.2,8454.6
2129.3,0,10275,6645.4,8591,7131.8,5465.8,5414.8,0,4695.4,3776,6182.4,8126.6,6021.6,3311.4,0,9614.7,6925.4,8239.5,5068.6,0,7740.7,6349.6,4057.5,4887.2,4526.9,3175.6,9673,8265.4,7306.2,0,6317.1,6763,3747,3682.4,8996.8
2301,0,9131.5,7355.2,9027.4,8814.3,5289.6,6268.5,0,7826.3,2665.3,7055.7,9332.2,4621.3,4440.6,0,9100.4,6910.6,6643.3,5598,0,7139.2,7088.5,1592.3,5582.2,3265.7,4205.2,6904.1,7661.3,7086.3,0,6673.9,6413.5,5537.3,2396.6,9275.2
